type, province, city, district, name, address, lng, lat
060100,河北省,廊坊市,安次区,迎春直销,G104(银河南路),116.700077,39.481967
060101,河北省,廊坊市,安次区,和兴商业中心(建设中),瑞丰道和建设南路交汇处(安次一幼对面),116.719110,39.497820
060102,河北省,廊坊市,安次区,明珠大厦(永华店),银河南路117号,116.698556,39.503880
060301,河北省,廊坊市,安次区,华龙购物中心,银河南路119-1号华龙购物中心,116.697975,39.503069
060301,河北省,廊坊市,安次区,永宏电器(廊霸线),廊霸线西50米,116.684586,39.470847
060301,河北省,廊坊市,安次区,爱家电器(仇南线),272省道西50米,116.743965,39.368372
060305,河北省,廊坊市,安次区,中国移动(永华西道东宇店),永华道160-6号,116.691787,39.504581
060305,河北省,廊坊市,安次区,中国移动(诚信店),码杨线西50米,116.835061,39.199148
060305,河北省,廊坊市,安次区,中国移动环宇授权店,码杨线东50米,116.836214,39.203152
060301,河北省,廊坊市,安次区,鑫缘电器,码杨线附近,116.841786,39.246922
060301,河北省,廊坊市,安次区,亚伟电器(广阳区交通局公路管理站北),银河南路兴安市场14栋10号,116.697866,39.501282
060301,河北省,廊坊市,安次区,仇庄宏声电器(彩电直营店),仇南线与272省道交叉口南200米,116.743815,39.368990
060305|070601,河北省,廊坊市,安次区,中国电信(光明西道营业厅),光明西道翰林名晟门市2-1-106号,116.693243,39.512869
060305,河北省,廊坊市,安次区,宇锋通讯,吉祥路与永华道交叉口东150米,116.702962,39.504880
060301,河北省,廊坊市,安次区,创维,廊霸线西50米,116.685096,39.471048
060301,河北省,廊坊市,安次区,利民家电(安次区第四医院东安庄分院西南),码头镇企业街东安庄中学东150米附近,116.839198,39.320610
070603|060305,河北省,廊坊市,安次区,中国移动,盛德花园小区北门河北银行东侧,116.686814,39.504627
060305,河北省,廊坊市,安次区,三美琦手机,永华道96附近,116.700684,39.504210
060305,河北省,廊坊市,安次区,晓君通讯,常甫路与广安里交叉口南150米,116.708113,39.502174
060305,河北省,廊坊市,安次区,共盈通讯,幸福路与祖各庄街交叉口东北50米,116.678400,39.502100
